cycle,load,store,vector,scalar,sfu,reserved,eop,word_hex
274,0x00000058023,0x000000061be,0x000000000,0x00000000,0x50301041,0,0,0000016008c00000061be0000000000000000503010410
275,0x00000059027,0x00000000000,0x000000000,0x00000000,0x00000000,0,0,0000016409c00000000000000000000000000000000000
276,0x0000005a02b,0x00000000000,0x000000000,0x00000000,0x51d1a009,0,0,000001680ac0000000000000000000000000051d1a0090
277,0x0000005b02f,0x00000000000,0x02c00010c,0x00000000,0x00000000,0,0,0000016c0bc00000000000b00004300000000000000000
278,0x00000000000,0x00000000000,0x02c20012c,0x00000000,0x50705041,0,0,0000000000000000000000b08004b00000000507050410
279,0x00000000000,0x00000000000,0x02c40014c,0x00000000,0x00000000,0,0,0000000000000000000000b10005300000000000000000
280,0x00000000000,0x00000000000,0x02c60016c,0x00000000,0x00000000,0,0,0000000000000000000000b18005b00000000000000000
281,0x00000000000,0x00000000000,0x000000000,0x00000000,0x00000000,0,0,0000000000000000000000000000000000000000000000
282,0x00000000000,0x00000000000,0x000000000,0x0fefcec2,0x51311041,0,0,0000000000000000000000000000007f7e761513110410
283,0x00000000000,0x00000000000,0x000000000,0x00000000,0x00000000,0,0,0000000000000000000000000000000000000000000000
284,0x00000000000,0x00000000000,0x000000000,0x00000000,0x00000000,0,0,0000000000000000000000000000000000000000000000
285,0x00000000000,0x00000000000,0x000000000,0x0c8c2c04,0x00000000,0,0,0000000000000000000000000000006461602000000000
286,0x00000000000,0x00000000000,0x033200eab,0x00000000,0x51715041,0,0,0000000000000000000000cc803aac0000000517150410
287,0x00000000000,0x00000000000,0x000000000,0x0cac6c44,0x00000000,0,0,0000000000000000000000000000006563622000000000
288,0x00000000000,0x00000000000,0x000000000,0x00000000,0x00000000,0,0,0000000000000000000000000000000000000000000000
289,0x00000000000,0x00000000000,0x000000000,0x00000000,0x00000000,0,0,0000000000000000000000000000000000000000000000
290,0x0000005c053,0x000000071fe,0x033400eeb,0x00000000,0x51b19041,0,0,0000017014c00000071fe0cd003bac000000051b190410
291,0x0000005e05b,0x00000000000,0x000000000,0x00000000,0x00000000,0,0,0000017816c00000000000000000000000000000000000
292,0x0000005d057,0x00000000000,0x000000000,0x00000000,0x00000000,0,0,0000017415c00000000000000000000000000000000000
293,0x0000005f05f,0x00000000000,0x02e00028c,0x00000000,0x00000000,0,0,0000017c17c00000000000b8000a300000000000000000
294,0x00000000000,0x00000000000,0x034e00fab,0x0cccac84,0x51f1d041,0,0,0000000000000000000000d3803eac666564251f1d0410
295,0x00000000000,0x00000000000,0x02e2002ac,0x00000000,0x00000000,0,0,0000000000000000000000b8800ab00000000000000000
296,0x00000000000,0x00000000000,0x02e4002cc,0x00000000,0x00000000,0,0,0000000000000000000000b9000b300000000000000000
297,0x00000000000,0x00000000000,0x02e6002ec,0x00000000,0x00000000,0,0,0000000000000000000000b9800bb00000000000000000
298,0x00000000000,0x00000000000,0x035000feb,0x00000000,0x52b29041,0,0,0000000000000000000000d4003fac000000052b290410
299,0x00000000000,0x00000000000,0x000000000,0x11f1d0c2,0x00000000,0,0,0000000000000000000000000000008f8e861000000000
300,0x00000000000,0x00000000000,0x000000000,0x00000000,0x00000000,0,0,0000000000000000000000000000000000000000000000
301,0x00000000000,0x00000000000,0x000000000,0x00000000,0x00000000,0,0,0000000000000000000000000000000000000000000000
302,0x00000000000,0x00000000000,0x03520102b,0x13935322,0x52f2d041,0,0,0000000000000000000000d48040ac9c9a99152f2d0410
303,0x00000000000,0x00000000000,0x000000000,0x00000000,0x00000000,0,0,0000000000000000000000000000000000000000000000
304,0x00000000000,0x00000000000,0x000000000,0x0e8e2e04,0x00000000,0,0,0000000000000000000000000000007471702000000000
305,0x00000000000,0x00000000000,0x000000000,0x0eae6e44,0x00000000,0,0,0000000000000000000000000000007573722000000000
306,0x00000000000,0x00000000000,0x03540106b,0x00000000,0x00000000,0,0,0000000000000000000000d50041ac0000000000000000
307,0x00000060083,0x0000000823e,0x000000000,0x00000000,0x00000000,0,0,0000018020c000000823e0000000000000000000000000
308,0x00000061087,0x00000000000,0x000000000,0x00000000,0x00000000,0,0,0000018421c00000000000000000000000000000000000
309,0x0000006208b,0x00000000000,0x000000000,0x13b39362,0x00000000,0,0,0000018822c00000000000000000009d9c9b1000000000
310,0x0000006308f,0x00000000000,0x036e0112b,0x157514e2,0x00000000,0,0,0000018c23c00000000000db8044acaba8a71000000000
311,0x00000000000,0x00000000000,0x03000040c,0x00000000,0x00000000,0,0,0000000000000000000000c00010300000000000000000
312,0x00000000000,0x00000000000,0x03020042c,0x0eceae84,0x00000000,0,0,0000000000000000000000c08010b07675742000000000
313,0x00000000000,0x00000000000,0x03040044c,0x00000000,0x00000000,0,0,0000000000000000000000c10011300000000000000000
314,0x00000000000,0x00000000000,0x03700116b,0x00000000,0x00000000,0,0,0000000000000000000000dc0045ac0000000000000000
315,0x00000000000,0x00000000000,0x000000000,0x00000000,0x00000000,0,0,0000000000000000000000000000000000000000000000
316,0x00000000000,0x00000000000,0x03060046c,0x00000000,0x53d3a009,0,0,0000000000000000000000c18011b0000000053d3a0090
317,0x00000000000,0x00000000000,0x000000000,0x00000000,0x00000000,0,0,0000000000000000000000000000000000000000000000
318,0x00000000000,0x00000000000,0x0372011ab,0x15955522,0x00000000,0,0,0000000000000000000000dc8046acacaaa91000000000
319,0x00000000000,0x00000000000,0x000000000,0x00000000,0x00000000,0,0,0000000000000000000000000000000000000000000000
320,0x00000000000,0x00000000000,0x000000000,0x10903004,0x00000000,0,0,0000000000000000000000000000008481802000000000
321,0x00000000000,0x00000000000,0x000000000,0x00000000,0x00000000,0,0,0000000000000000000000000000000000000000000000
322,0x00000000000,0x00000000000,0x0374011eb,0x00000000,0x00000000,0,0,0000000000000000000000dd0047ac0000000000000000
323,0x00000000000,0x00000000000,0x05318d243,0x00000000,0x00000000,0,0,00000000000000000000014c63490c0000000000000000
324,0x00000000000,0x00000000000,0x05358d263,0x00000000,0x00000000,0,0,00000000000000000000014d63498c0000000000000000
