t,imm,connect,dst,src1,src0,mask,optype
581,0,0,00000000,00000000,00000000,0,0000
582,0,0,00000000,00000000,00000000,0,0000
583,0,0,00000000,00000000,00000000,0,0000
584,0,0,00000000,00000000,00000000,0,0000
585,0,0,00000000,00000000,00000000,0,0000
586,0,0,00000000,00000000,00000000,0,0000
587,0,0,01001111,01001110,01000110,0,0010
588,0,0,00000000,00000000,00000000,0,0000
589,0,0,00000000,00000000,00000000,0,0000
590,0,0,01011100,01011010,01011001,0,0010
591,0,0,00000000,00000000,00000000,0,0000
592,0,0,00000000,00000000,00000000,0,0000
593,0,0,00000000,00000000,00000000,0,0000
594,0,0,00000000,00000000,00000000,0,0000
595,0,0,00000000,00000000,00000000,0,0000
596,0,0,00000000,00000000,00000000,0,0000
597,0,0,01011101,01011100,01011011,0,0010
598,0,0,01101011,01101000,01100111,0,0010
599,0,0,00000000,00000000,00000000,0,0000
600,0,0,00000000,00000000,00000000,0,0000
601,0,0,00000000,00000000,00000000,0,0000
