cycle,load,store,vector,scalar,sfu,reserved,eop,word_hex
377,0x00000000000,0x00000000000,0x01d807d62,0x41808162,0x00000000,0,0,00000000000000000000007601f58a0c040b1000000000
378,0x00000000000,0x00000000000,0x024e00acd,0x00000000,0x00000000,0,0,000000000000000000000093802b340000000000000000
379,0x00000000000,0x00000000000,0x01de0bdc2,0x00000000,0x00000000,0,0,00000000000000000000007782f7080000000000000000
380,0x00000000000,0x00000000000,0x01f401f21,0x4360c34f,0x00000000,0,0,00000000000000000000007d007c861b061a7800000000
381,0x00000000000,0x00000000000,0x01fa05f81,0x00000000,0x00000000,0,0,00000000000000000000007e817e040000000000000000
382,0x00000000000,0x000000243a7,0x04ae4aa43,0x00000000,0x00000000,0,0,0000000000000000243a712b92a90c0000000000000000
383,0x00000000000,0x00000000000,0x000c09fe1,0x00000000,0x00000000,0,0,000000000000000000000003027f840000000000000000
384,0x00000000000,0x00000000000,0x0423de161,0x00000000,0x01a18002,0,0,000000000000000000000108f78584000000001a180020
385,0x00000000000,0x000000253b3,0x0429de1a1,0x00000000,0x00000000,0,0,0000000000000000253b310a7786840000000000000000
386,0x0000005133b,0x000000263bf,0x04ca6ac43,0x00000000,0x00000000,0,0,00000144cec00000263bf1329ab10c0000000000000000
387,0x0000005233f,0x00000000000,0x01f603f42,0x43808362,0x00000000,0,0,00000148cfc000000000007d80fd0a1c041b1000000000
388,0x00000053343,0x00000000000,0x01fc07fa2,0x00000000,0x00000000,0,0,0000014cd0c000000000007f01fe880000000000000000
389,0x00000000000,0x00000000000,0x042fde1e1,0x00000000,0x00000000,0,0,00000000000000000000010bf787840000000000000000
390,0x00000000000,0x00000000000,0x000e0a0c2,0x0524e4cb,0x00000000,0,0,0000000000000000000000038283082927265800000000
391,0x00000000000,0x00000000000,0x002400221,0x00000000,0x00000000,0,0,0000000000000000000000090008840000000000000000
392,0x00000000000,0x00000000000,0x002a04281,0x00000000,0x00000000,0,0,00000000000000000000000a810a040000000000000000
393,0x00000000000,0x00000000000,0x02b000aee,0x5fc0bfb1,0x00000000,0,0,0000000000000000000000ac002bbafe05fd8800000000
394,0x00000000000,0x000000273ef,0x02cc00cae,0x00000000,0x03a38002,0,0,0000000000000000273ef0b30032b8000000003a380020
395,0x00000000000,0x000000283fb,0x02d000cee,0x00000000,0x00000000,0,0,0000000000000000283fb0b40033b80000000000000000
396,0x00000000000,0x00000000000,0x0030082e1,0x00000000,0x00000000,0,0,00000000000000000000000c020b840000000000000000
397,0x00000055387,0x0000002901f,0x04d26ac83,0x00000000,0x00000000,0,0,00000154e1c000002901f1349ab20c0000000000000000
398,0x00000054383,0x00000000000,0x002602242,0x00000000,0x00000000,0,0,00000150e0c00000000000098089080000000000000000
399,0x0000005638b,0x00000000000,0x002c062a2,0x00000000,0x00000000,0,0,00000158e2c000000000000b018a880000000000000000
400,0x00000000000,0x00000000000,0x025000b0d,0x00000000,0x1fffc003,0,0,000000000000000000000094002c3400000001fffc0030
401,0x00000000000,0x00000000000,0x026c00ccd,0x00000000,0x00000000,0,0,00000000000000000000009b0033340000000000000000
402,0x00000000000,0x00000000000,0x026e00d0d,0x00000000,0x00000000,0,0,00000000000000000000009b8034340000000000000000
403,0x00000000000,0x00000000000,0x00320a302,0x41c0a1b1,0x00000000,0,0,00000000000000000000000c828c0a0e050d8800000000
404,0x00000000000,0x00000000000,0x02d400d2e,0x00000000,0x00000000,0,0,0000000000000000000000b50034b80000000000000000
405,0x00000000000,0x0000002a04f,0x04ee8ae83,0x00000000,0x00000000,0,0,00000000000000002a04f13ba2ba0c0000000000000000
406,0x00000000000,0x0000002b05b,0x04f28aea3,0x00000000,0x00000000,0,0,00000000000000002b05b13ca2ba8c0000000000000000
407,0x00000000000,0x00000000000,0x04f68aec3,0x00000000,0x00000000,0,0,00000000000000000000013da2bb0c0000000000000000
408,0x00000000000,0x00000000000,0x0512ab0c3,0x00000000,0x00000000,0,0,000000000000000000000144aac30c0000000000000000
409,0x00000000000,0x00000000000,0x0516ab0e3,0x00000000,0x00000000,0,0,000000000000000000000145aac38c0000000000000000
410,0x000000573cb,0x0000002c067,0x051aab103,0x00000000,0x01e1c003,0,0,0000015cf2c000002c067146aac40c000000001e1c0030
411,0x000000593d3,0x00000000000,0x027000d4d,0x00000000,0x00000000,0,0,00000164f4c000000000009c0035340000000000000000
412,0x000000583cf,0x00000000000,0x02f000eee,0x0545052b,0x00000000,0,0,00000160f3c00000000000bc003bb82a28295800000000
413,0x00000000000,0x00000000000,0x02f400f2e,0x43c0a3b1,0x00000000,0,0,0000000000000000000000bd003cba1e051d8800000000
414,0x00000000000,0x00000000000,0x02f800f6e,0x0726e6cb,0x00000000,0,0,0000000000000000000000be003db83937365800000000
